id,category,item_name,keywords,carbon_factor_per_1000krw,carbon_factor_per_unit,eco_friendly_alternative,reduction_tip
CF001,육류/가공육,소고기(국내산/수입),소고기;한우;불고기;등심;안심;갈비;양지;차돌박이,1850,2700,식물성 대공 대체육 / 두부 / 콩고기,소고기 100g 단백질을 콩이나 두부로 대체 시 탄소 90% 절감
CF002,육류/가공육,돼지고기(삼겹살/목살),돼지고기;삼겹살;목살;돼지;제육;돈까스;햄;소시지,620,950,닭고기 또는 템페/두부,돼지고기 소비 주 1회 줄이기
CF003,육류/가공육,닭고기/오리고기,닭;치킨;닭가슴살;닭갈비;삼계탕;오리;치킨너겟,310,480,버섯 및 두부 요리,대중적인 육류 중 비교적 탄소발자국이 적으나 대체 식단 활용 가능
CF004,수산/해산물,생선/해산물,생선;고등어;연어;오징어;새우;조개;광어;회,280,380,국산 제철 생선 / 국산 해조류,수입 연어보다 제철 국산 생선 선택하기
CF005,채소/신선식품,계란/유정란,계란;달걀;유정란;특란;왕란,190,210,무항생제/동물복지 유정란,지역 산지 직송 달걀 구매로 유통 탄소 감소
CF006,채소/신선식품,두부/콩나물/버섯,두부;순두부;콩나물;숙주;버섯;팽이버섯;새송이,85,90,로컬푸드 저탄소 인증 채소,저탄소 농산물 인증 마크 확인하기
CF007,채소/신선식품,신선채소(상추/배추/양파),상추;배추;양파;파;마늘;고추;시금치;당근;오이;호박,95,110,제철 로컬 채소,포장 필름 최소화 및 알뜰상품 이용
CF008,채소/신선식품,국내산 과일(사과/배/감귤),사과;배;귤;한라봉;딸기;포도;감;복숭아,120,150,친환경/무농약 제철 과일,제철 과일 소비로 온실 재배 에너지 절약
CF009,채소/신선식품,수입 과일(바나나/아보카도/오렌지),바나나;아보카도;오렌지;망고;체리;파인애플,450,520,국산 제철 과일,장거리 항공/선박 운송 수입 과일 줄이기
CF010,유제품/음료,우유/플레인요거트,우유;흰우유;저지방우유;요거트;요구르트;치즈;버터,340,420,귀리유(오트밀크) / 두유,식물성 오트/두유 음료로 전환 시 탄소 70% 절감
CF011,유제품/음료,아메리카노/에스프레소,아메리카노;드립커피;더치커피;원두,150,180,텀블러 지참 할인 / 다회용 컵,텀블러 사용 시 일회용 컵 및 플라스틱 뚜껑 탄소 절감
CF012,유제품/음료,카페라떼/밀크티/크림음료,라떼;카페라떼;바닐라라떼;밀크티;스무디;프라푸치노,380,450,오트라떼(귀리유 라떼) / 텀블러,우유 생산 및 용기 배출량을 감축
CF013,유제품/음료,생수/탄산수,생수;삼다수;아이시스;백산수;탄산수;씨그램;트레비,290,320,정수기 / 정수 텀블러 / 무라벨 생수,페트병 용기 생산 탄소 및 플라스틱 쓰레기 절감
CF014,유제품/음료,탄산음료/캔음료,콜라;사이다;환타;캔커피;이온음료;포카리,220,260,다회용 용기 탄산수 / 수제 청,캔/페트 배출 감소
CF015,간편식/가공식품,라면/컵라면,라면;신라면;진라면;불닭;컵라면;비빔면,210,250,건면 / 저탄소 가공식품,튀기지 않은 건면 선택 및 용기 분리배출
CF016,간편식/가공식품,스낵/과자/초콜릿,과자;스낵;초콜릿;쿠키;젤리;사탕;비스킷,240,280,대용량 포장 / 친환경 과자,과대포장 상품 피하기
CF017,배달/외식,배달음식(일회용용기 포함),배달;족발;보쌈;피자;떡볶이;마라탕;중화요리;마라;야식,580,820,다회용기 배달 서비스 / 포장 수거,플라스틱 일회용 용기 및 배달 오토바이 탄소 차단
CF018,배달/외식,패스트푸드(햄버거/치킨),버거;햄버거;맥도날드;롯데리아;버거킹;KFC;치킨세트,490,680,식물성 버거 / 다회용 컵 세트,플라스틱 빨대 및 일회용 포장재 최소화
CF019,생활용품/잡화,일회용품/플라스틱용기,일회용;플라스틱컵;비닐봉투;지퍼백;위생장갑;빨대,890,950,장바구니 / 다회용 밀폐용기 / 대나무 빨대,일회용 플라스틱은 마이크로 플라스틱과 정제 탄소 주범
CF020,생활용품/잡화,세제/섬유유연제/세제류,세제;주방세제;세탁세제;섬유유연제;퐁퐁;락스,310,420,친환경 리필 세제 / 고체 세탁바,제로웨이스트 리필숍 이용으로 용기 탄소 제거
CF021,생활용품/잡화,화장지/물티슈,휴지;화장지;물티슈;크리넥스;키친타올,410,510,우유팩 재활용 화장지 / 소목수건,물티슈의 플라스틱 섬유 매립 탄소 절감
CF022,의류/패션,패스트패션/의류,의류;티셔츠;바지;원피스;양말;모자;자켓;코트,780,1200,빈티지/리사이클 의류 / 업사이클링,패스트 패션 의류 제조 및 염색 과정 탄소 감소
CF023,교통/연료,휘발유/경유 연료,주유;휘발유;경유;가솔린;디젤;주유소,1250,2100,대중교통 / 전기차 / 자전거,대중교통 이용 시 탄소 배출량 최대 85% 감축
CF024,친환경인증,저탄소/친환경인증 상품,친환경;저탄소;무농약;유기농;GAP인증;제로웨이스트;리사이클,45,60,친환경 인증 지속 구매,탄소발자국 인증 및 저탄소 농산물 표지 확인
